dataset,format,input_path,input_name,err,t,pipeline,ok,wall_s,qubits,gates_in_total,gates_in_H,gates_in_X,gates_in_Rzq,gates_in_CX,gates_opt_total,gates_opt_U1,gates_opt_U2,gates_opt_U3,gates_opt_CX,stdout_tail,stderr_tail
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,0.1,std,False,1800.110261,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 22020 pauli strings; relaxation factor: 1.016483.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,0.5,std,False,1800.268912,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 0.500000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 541860 pauli strings; relaxation factor: 1.003327.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,1.0,std,False,1801.124497,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 1.000000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 2163660 pauli strings; relaxation factor: 1.001665.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.001,0.1,std,False,1801.185513,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 0.100000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 2160420 pauli strings; relaxation factor: 1.000167.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.001,0.5,std,False,8.133012,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 0.500000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 54001860 pauli strings; relaxation factor: 1.000033.\n[DBG] trotterStd_IBMDigital raise EXN: Stack overflow\nFatal error: exception Stack overflow\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.001,1.0,std,False,31.205678,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 1.000000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 216003660 pauli strings; relaxation factor: 1.000017.\n[DBG] trotterStd_IBMDigital raise EXN: Stack overflow\nFatal error: exception Stack overflow\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.1,0.1,std,False,1800.108211,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 22020 pauli strings; relaxation factor: 1.016483.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.1,0.5,std,False,1800.348392,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 0.500000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 541860 pauli strings; relaxation factor: 1.003327.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.1,1.0,std,False,1801.112339,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 1.000000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 2163660 pauli strings; relaxation factor: 1.001665.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.001,0.1,std,False,1801.110452,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 0.100000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 2160420 pauli strings; relaxation factor: 1.000167.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.001,0.5,std,False,8.056059,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 0.500000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 54001860 pauli strings; relaxation factor: 1.000033.\n[DBG] trotterStd_IBMDigital raise EXN: Stack overflow\nFatal error: exception Stack overflow\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.001,1.0,std,False,31.164695,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 1.000000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 216003660 pauli strings; relaxation factor: 1.000017.\n[DBG] trotterStd_IBMDigital raise EXN: Stack overflow\nFatal error: exception Stack overflow\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.1,0.1,std,False,1800.108407,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 22020 pauli strings; relaxation factor: 1.016483.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.1,0.5,std,False,1800.350197,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 0.500000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 541860 pauli strings; relaxation factor: 1.003327.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.1,1.0,std,False,1801.110852,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 1.000000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 2163660 pauli strings; relaxation factor: 1.001665.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.001,0.1,std,False,1801.111903,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 0.100000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 2160420 pauli strings; relaxation factor: 1.000167.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.001,0.5,std,False,7.798747,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 0.500000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 54001860 pauli strings; relaxation factor: 1.000033.\n[DBG] trotterStd_IBMDigital raise EXN: Stack overflow\nFatal error: exception Stack overflow\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.001,1.0,std,False,31.211174,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 1.000000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 216003660 pauli strings; relaxation factor: 1.000017.\n[DBG] trotterStd_IBMDigital raise EXN: Stack overflow\nFatal error: exception Stack overflow\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.1,0.1,std,False,1800.722304,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /tmp/qblue_bench_1txojsd9/_Pauli_string_SYK1.5adec278a29d.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 930720 pauli strings; relaxation factor: 1.004750.\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.1,0.5,std,False,3.450320,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 0.500000\n[DBG] Analyzing /tmp/qblue_bench_1txojsd9/_Pauli_string_SYK1.5adec278a29d.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 23174760 pauli strings; relaxation factor: 1.000952.\n[DBG] trotterStd_IBMDigital raise EXN: Stack overflow\nFatal error: exception Stack overflow\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.1,1.0,std,False,13.263721,,,,,,,,,,,,,[DBG] Expected error: 0.100000;   t: 1.000000\n[DBG] Analyzing /tmp/qblue_bench_1txojsd9/_Pauli_string_SYK1.5adec278a29d.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 92654310 pauli strings; relaxation factor: 1.000476.\n[DBG] trotterStd_IBMDigital raise EXN: Stack overflow\nFatal error: exception Stack overflow\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.001,0.1,std,False,13.274685,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 0.100000\n[DBG] Analyzing /tmp/qblue_bench_1txojsd9/_Pauli_string_SYK1.5adec278a29d.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 92614620 pauli strings; relaxation factor: 1.000048.\n[DBG] trotterStd_IBMDigital raise EXN: Stack overflow\nFatal error: exception Stack overflow\n
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.001,0.5,std,False,51.259239,,,,,,,,,,,,,[DBG] Expected error: 0.001000;   t: 0.500000\n[DBG] Analyzing /tmp/qblue_bench_1txojsd9/_Pauli_string_SYK1.5adec278a29d.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 2315272260 pauli strings; relaxation factor: 1.000010.\n
