dataset,format,input_path,input_name,err,t,pipeline,p_flag,algorithm,backend,n_terms,n_pauli_strings,splitting_r,lambda,relaxation_factor,ok,wall_s,qubits,gates_in_total,gates_in_H,gates_in_X,gates_in_Rzq,gates_in_CX,gates_in_json,gates_opt_total,gates_opt_U1,gates_opt_U2,gates_opt_U3,gates_opt_CX,gates_opt_json,stdout_tail,stderr_tail
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,0.1,std,0,Trotterization (QDrift),IBMDigital,60,47,,14.603033,1.064112,True,0.079579,8,66,6,0,34,26,"{""CX"": 26, ""H"": 6, ""Rzq"": 34, ""X"": 0}",31,8,4,0,19,"{""CX"": 19, ""U1"": 8, ""U2"": 4, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_to_optimize_ap1\nIn translation_lowprog_to_optimize_ap1\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 47 pauli strings; lambda = 14.603033; relaxation factor: 1.064112.\n[DBG] Input circuit uses 8 qubits, has 66 gates:  { H : 6, X : 0, Rzq : 34, CX : 26 }.\n[DBG] After optimization, the circuit uses 31 gates : { U1 : 8, U2 : 4, U3 : 0, CX : 19 }.\n\n"
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,0.1,qdrift,1,Trotterization (QDrift),IBMDigital,60,47,,14.603033,1.064112,True,0.029558,8,66,6,0,34,26,"{""CX"": 26, ""H"": 6, ""Rzq"": 34, ""X"": 0}",31,8,4,0,19,"{""CX"": 19, ""U1"": 8, ""U2"": 4, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_to_optimize_ap1\nIn translation_lowprog_to_optimize_ap1\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 47 pauli strings; lambda = 14.603033; relaxation factor: 1.064112.\n[DBG] Input circuit uses 8 qubits, has 66 gates:  { H : 6, X : 0, Rzq : 34, CX : 26 }.\n[DBG] After optimization, the circuit uses 31 gates : { U1 : 8, U2 : 4, U3 : 0, CX : 19 }.\n\n"
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,0.5,std,0,Trotterization (QDrift),IBMDigital,60,1082,,14.603033,1.013588,True,0.043011,8,1106,60,0,722,324,"{""CX"": 324, ""H"": 60, ""Rzq"": 722, ""X"": 0}",309,47,36,1,225,"{""CX"": 225, ""U1"": 47, ""U2"": 36, ""U3"": 1}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_to_optimize_ap1\nIn translation_lowprog_to_optimize_ap1\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.100000;   t: 0.500000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 1082 pauli strings; lambda = 14.603033; relaxation factor: 1.013588.\n[DBG] Input circuit uses 8 qubits, has 1106 gates:  { H : 60, X : 0, Rzq : 722, CX : 324 }.\n[DBG] After optimization, the circuit uses 309 gates : { U1 : 47, U2 : 36, U3 : 1, CX : 225 }.\n\n"
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,0.5,qdrift,1,Trotterization (QDrift),IBMDigital,60,1082,,14.603033,1.013588,True,0.043702,8,1106,60,0,722,324,"{""CX"": 324, ""H"": 60, ""Rzq"": 722, ""X"": 0}",309,47,36,1,225,"{""CX"": 225, ""U1"": 47, ""U2"": 36, ""U3"": 1}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_to_optimize_ap1\nIn translation_lowprog_to_optimize_ap1\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.100000;   t: 0.500000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 1082 pauli strings; lambda = 14.603033; relaxation factor: 1.013588.\n[DBG] Input circuit uses 8 qubits, has 1106 gates:  { H : 60, X : 0, Rzq : 722, CX : 324 }.\n[DBG] After optimization, the circuit uses 309 gates : { U1 : 47, U2 : 36, U3 : 1, CX : 225 }.\n\n"
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,1.0,std,0,Trotterization (QDrift),IBMDigital,60,4295,,14.603033,1.006823,True,0.147446,8,4719,372,0,2893,1454,"{""CX"": 1454, ""H"": 372, ""Rzq"": 2893, ""X"": 0}",1534,243,212,6,1073,"{""CX"": 1073, ""U1"": 243, ""U2"": 212, ""U3"": 6}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_to_optimize_ap1\nIn translation_lowprog_to_optimize_ap1\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.100000;   t: 1.000000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 4295 pauli strings; lambda = 14.603033; relaxation factor: 1.006823.\n[DBG] Input circuit uses 8 qubits, has 4719 gates:  { H : 372, X : 0, Rzq : 2893, CX : 1454 }.\n[DBG] After optimization, the circuit uses 1534 gates : { U1 : 243, U2 : 212, U3 : 6, CX : 1073 }.\n\n"
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,1.0,qdrift,1,Trotterization (QDrift),IBMDigital,60,4295,,14.603033,1.006823,True,0.151217,8,4719,372,0,2893,1454,"{""CX"": 1454, ""H"": 372, ""Rzq"": 2893, ""X"": 0}",1534,243,212,6,1073,"{""CX"": 1073, ""U1"": 243, ""U2"": 212, ""U3"": 6}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_to_optimize_ap1\nIn translation_lowprog_to_optimize_ap1\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.100000;   t: 1.000000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 4295 pauli strings; lambda = 14.603033; relaxation factor: 1.006823.\n[DBG] Input circuit uses 8 qubits, has 4719 gates:  { H : 372, X : 0, Rzq : 2893, CX : 1454 }.\n[DBG] After optimization, the circuit uses 1534 gates : { U1 : 243, U2 : 212, U3 : 6, CX : 1073 }.\n\n"
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.001,0.1,std,0,Trotterization (QDrift),IBMDigital,60,4268,,14.603033,1.000685,True,0.147115,8,4681,366,0,2877,1438,"{""CX"": 1438, ""H"": 366, ""Rzq"": 2877, ""X"": 0}",1498,241,206,6,1045,"{""CX"": 1045, ""U1"": 241, ""U2"": 206, ""U3"": 6}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_to_optimize_ap1\nIn translation_lowprog_to_optimize_ap1\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.001000;   t: 0.100000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 4268 pauli strings; lambda = 14.603033; relaxation factor: 1.000685.\n[DBG] Input circuit uses 8 qubits, has 4681 gates:  { H : 366, X : 0, Rzq : 2877, CX : 1438 }.\n[DBG] After optimization, the circuit uses 1498 gates : { U1 : 241, U2 : 206, U3 : 6, CX : 1045 }.\n\n"
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.001,0.1,qdrift,1,Trotterization (QDrift),IBMDigital,60,4268,,14.603033,1.000685,True,0.146344,8,4681,366,0,2877,1438,"{""CX"": 1438, ""H"": 366, ""Rzq"": 2877, ""X"": 0}",1498,241,206,6,1045,"{""CX"": 1045, ""U1"": 241, ""U2"": 206, ""U3"": 6}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_to_optimize_ap1\nIn translation_lowprog_to_optimize_ap1\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.001000;   t: 0.100000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 4268 pauli strings; lambda = 14.603033; relaxation factor: 1.000685.\n[DBG] Input circuit uses 8 qubits, has 4681 gates:  { H : 366, X : 0, Rzq : 2877, CX : 1438 }.\n[DBG] After optimization, the circuit uses 1498 gates : { U1 : 241, U2 : 206, U3 : 6, CX : 1045 }.\n\n"
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.001,0.5,std,0,Trotterization (QDrift),IBMDigital,60,106640,,14.603033,1.000137,True,260.498673,8,122708,10140,0,73680,38888,"{""CX"": 38888, ""H"": 10140, ""Rzq"": 73680, ""X"": 0}",41222,6350,5549,384,28939,"{""CX"": 28939, ""U1"": 6350, ""U2"": 5549, ""U3"": 384}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_to_optimize_ap1\nIn translation_lowprog_to_optimize_ap1\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.001000;   t: 0.500000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 106640 pauli strings; lambda = 14.603033; relaxation factor: 1.000137.\n[DBG] Input circuit uses 8 qubits, has 122708 gates:  { H : 10140, X : 0, Rzq : 73680, CX : 38888 }.\n[DBG] After optimization, the circuit uses 41222 gates : { U1 : 6350, U2 : 5549, U3 : 384, CX : 28939 }.\n\n"
MarQSim_dataset,marqsim,/geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.001,0.5,qdrift,1,Trotterization (QDrift),IBMDigital,60,106640,,14.603033,1.000137,True,260.311080,8,122708,10140,0,73680,38888,"{""CX"": 38888, ""H"": 10140, ""Rzq"": 73680, ""X"": 0}",41222,6350,5549,384,28939,"{""CX"": 28939, ""U1"": 6350, ""U2"": 5549, ""U3"": 384}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_to_optimize_ap1\nIn translation_lowprog_to_optimize_ap1\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.001000;   t: 0.500000\n[DBG] Analyzing /geode2/home/u030/gravjabr/BigRed200/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 106640 pauli strings; lambda = 14.603033; relaxation factor: 1.000137.\n[DBG] Input circuit uses 8 qubits, has 122708 gates:  { H : 10140, X : 0, Rzq : 73680, CX : 38888 }.\n[DBG] After optimization, the circuit uses 41222 gates : { U1 : 6350, U2 : 5549, U3 : 384, CX : 28939 }.\n\n"
