dataset,format,input_path,input_name,err,t,pipeline,p_flag,grouping,algorithm,backend,n_terms,n_pauli_strings,splitting_r,lambda,relaxation_factor,ok,wall_s,qubits,gates_in_total,gates_in_H,gates_in_X,gates_in_Rzq,gates_in_CX,gates_in_json,gates_opt_total,gates_opt_U1,gates_opt_U2,gates_opt_U3,gates_opt_CX,gates_opt_json,stdout_tail,stderr_tail
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.5,0.01,std,0,none,Trotterization (1st-order),IBMDigital,60,120,2,,1.349859,True,0.070427,8,1080,288,0,264,528,"{""CX"": 528, ""H"": 288, ""Rzq"": 264, ""X"": 0}",561,84,92,0,385,"{""CX"": 385, ""U1"": 84, ""U2"": 92, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.500000;   t: 0.010000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 120 pauli strings; relaxation factor: 1.349859; splitting r: 2.\n[DBG] Input circuit uses 8 qubits, has 1080 gates:  { H : 288, X : 0, Rzq : 264, CX : 528 }.\n[DBG] After optimization, the circuit uses 561 gates : { U1 : 84, U2 : 92, U3 : 0, CX : 385 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.5,0.01,qdrift,1,none,Trotterization (QDrift),IBMDigital,60,2,,14.603033,1.157231,True,0.024351,8,1,0,0,1,0,"{""CX"": 0, ""H"": 0, ""Rzq"": 1, ""X"": 0}",1,1,0,0,0,"{""CX"": 0, ""U1"": 1, ""U2"": 0, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.500000;   t: 0.010000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 2 pauli strings; lambda = 14.603033; relaxation factor: 1.157231.\n[DBG] Input circuit uses 8 qubits, has 1 gates:  { H : 0, X : 0, Rzq : 1, CX : 0 }.\n[DBG] After optimization, the circuit uses 1 gates : { U1 : 1, U2 : 0, U3 : 0, CX : 0 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.5,0.01,std,0,none,Trotterization (1st-order),IBMDigital,60,120,2,,1.349859,True,0.033611,8,1080,288,0,264,528,"{""CX"": 528, ""H"": 288, ""Rzq"": 264, ""X"": 0}",561,84,92,0,385,"{""CX"": 385, ""U1"": 84, ""U2"": 92, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.500000;   t: 0.010000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 120 pauli strings; relaxation factor: 1.349859; splitting r: 2.\n[DBG] Input circuit uses 8 qubits, has 1080 gates:  { H : 288, X : 0, Rzq : 264, CX : 528 }.\n[DBG] After optimization, the circuit uses 561 gates : { U1 : 84, U2 : 92, U3 : 0, CX : 385 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.5,0.01,qdrift,1,none,Trotterization (QDrift),IBMDigital,60,2,,11.12888,1.117718,True,0.025085,8,1,0,0,1,0,"{""CX"": 0, ""H"": 0, ""Rzq"": 1, ""X"": 0}",1,1,0,0,0,"{""CX"": 0, ""U1"": 1, ""U2"": 0, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.500000;   t: 0.010000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 2 pauli strings; lambda = 11.128880; relaxation factor: 1.117718.\n[DBG] Input circuit uses 8 qubits, has 1 gates:  { H : 0, X : 0, Rzq : 1, CX : 0 }.\n[DBG] After optimization, the circuit uses 1 gates : { U1 : 1, U2 : 0, U3 : 0, CX : 0 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.5,0.01,std,0,none,Trotterization (1st-order),IBMDigital,60,120,2,,1.349859,True,0.033976,8,1080,288,0,264,528,"{""CX"": 528, ""H"": 288, ""Rzq"": 264, ""X"": 0}",561,84,92,0,385,"{""CX"": 385, ""U1"": 84, ""U2"": 92, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.500000;   t: 0.010000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 120 pauli strings; relaxation factor: 1.349859; splitting r: 2.\n[DBG] Input circuit uses 8 qubits, has 1080 gates:  { H : 288, X : 0, Rzq : 264, CX : 528 }.\n[DBG] After optimization, the circuit uses 561 gates : { U1 : 84, U2 : 92, U3 : 0, CX : 385 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.5,0.01,qdrift,1,none,Trotterization (QDrift),IBMDigital,60,2,,10.45621,1.110224,True,0.024089,8,1,0,0,1,0,"{""CX"": 0, ""H"": 0, ""Rzq"": 1, ""X"": 0}",1,1,0,0,0,"{""CX"": 0, ""U1"": 1, ""U2"": 0, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.500000;   t: 0.010000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 2 pauli strings; lambda = 10.456210; relaxation factor: 1.110224.\n[DBG] Input circuit uses 8 qubits, has 1 gates:  { H : 0, X : 0, Rzq : 1, CX : 0 }.\n[DBG] After optimization, the circuit uses 1 gates : { U1 : 1, U2 : 0, U3 : 0, CX : 0 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.5,0.01,std,0,none,Trotterization (1st-order),IBMDigital,210,2520,12,,1.191246,True,3.832482,8,42528,13320,0,9432,19776,"{""CX"": 19776, ""H"": 13320, ""Rzq"": 9432, ""X"": 0}",26126,2291,5362,25,18448,"{""CX"": 18448, ""U1"": 2291, ""U2"": 5362, ""U3"": 25}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.500000;   t: 0.010000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_xi0c9l82/_Pauli_string_SYK1.768984afcc13.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 2520 pauli strings; relaxation factor: 1.191246; splitting r: 12.\n[DBG] Input circuit uses 8 qubits, has 42528 gates:  { H : 13320, X : 0, Rzq : 9432, CX : 19776 }.\n[DBG] After optimization, the circuit uses 26126 gates : { U1 : 2291, U2 : 5362, U3 : 25, CX : 18448 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.5,0.01,qdrift,1,none,Trotterization (QDrift),IBMDigital,210,8,,104.141124,1.297388,True,0.025689,8,129,44,0,29,56,"{""CX"": 56, ""H"": 44, ""Rzq"": 29, ""X"": 0}",100,8,18,0,74,"{""CX"": 74, ""U1"": 8, ""U2"": 18, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.500000;   t: 0.010000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_xi0c9l82/_Pauli_string_SYK1.768984afcc13.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 8 pauli strings; lambda = 104.141124; relaxation factor: 1.297388.\n[DBG] Input circuit uses 8 qubits, has 129 gates:  { H : 44, X : 0, Rzq : 29, CX : 56 }.\n[DBG] After optimization, the circuit uses 100 gates : { U1 : 8, U2 : 18, U3 : 0, CX : 74 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK2.txt,_Pauli_string_SYK2.txt,0.5,0.01,std,0,none,Trotterization (1st-order),IBMDigital,210,2520,12,,1.191246,True,7.431387,10,34128,11160,0,8136,14832,"{""CX"": 14832, ""H"": 11160, ""Rzq"": 8136, ""X"": 0}",6961,1812,1141,432,3576,"{""CX"": 3576, ""U1"": 1812, ""U2"": 1141, ""U3"": 432}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 10\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.500000;   t: 0.010000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_xi0c9l82/_Pauli_string_SYK2.4c135e6ff830.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (1st-order) -> IBMDigital circuits: ----\n[DBG] Dealing with 2520 pauli strings; relaxation factor: 1.191246; splitting r: 12.\n[DBG] Input circuit uses 10 qubits, has 34128 gates:  { H : 11160, X : 0, Rzq : 8136, CX : 14832 }.\n[DBG] After optimization, the circuit uses 6961 gates : { U1 : 1812, U2 : 1141, U3 : 432, CX : 3576 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK2.txt,_Pauli_string_SYK2.txt,0.5,0.01,qdrift,1,none,Trotterization (QDrift),IBMDigital,210,8,,108.410952,1.311311,True,0.025903,10,109,38,0,31,40,"{""CX"": 40, ""H"": 38, ""Rzq"": 31, ""X"": 0}",23,9,2,0,12,"{""CX"": 12, ""U1"": 9, ""U2"": 2, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 10\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\n,"[DBG] Expected error: 0.500000;   t: 0.010000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_xi0c9l82/_Pauli_string_SYK2.4c135e6ff830.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 8 pauli strings; lambda = 108.410952; relaxation factor: 1.311311.\n[DBG] Input circuit uses 10 qubits, has 109 gates:  { H : 38, X : 0, Rzq : 31, CX : 40 }.\n[DBG] After optimization, the circuit uses 23 gates : { U1 : 9, U2 : 2, U3 : 0, CX : 12 }.\n\n"
