compiler,dataset,format,input_path,input_name,t,qiskit_opt,reverse_labels,n_terms,n_qubits,qubits,ok,wall_s,depth,gates_total,cx,twoq_total,ops_json,ibm_depth,gates_opt_total,gates_opt_U1,gates_opt_U2,gates_opt_U3,gates_opt_CX,gates_opt_json,swap_count,synth_cx_count,error
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,True,False,60,8,8,True,0.031584,720,916,664,664,"{""cx"": 664, ""rz"": 60, ""u"": 192}",216,303,1,56,62,184,"{""CX"": 184, ""U1"": 1, ""U2"": 56, ""U3"": 62}",0,664,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.1,True,False,60,8,8,True,0.004192,720,916,664,664,"{""cx"": 664, ""rz"": 60, ""u"": 192}",216,303,1,56,62,184,"{""CX"": 184, ""U1"": 1, ""U2"": 56, ""U3"": 62}",0,664,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.1,True,False,60,8,8,True,0.004218,720,916,664,664,"{""cx"": 664, ""rz"": 60, ""u"": 192}",216,303,1,56,62,184,"{""CX"": 184, ""U1"": 1, ""U2"": 56, ""U3"": 62}",0,664,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.1,True,False,210,8,8,True,0.018493,5118,6192,4614,4614,"{""cx"": 4614, ""rz"": 210, ""u"": 1368}",587,781,12,138,224,407,"{""CX"": 407, ""U1"": 12, ""U2"": 138, ""U3"": 224}",0,4614,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK2.txt,_Pauli_string_SYK2.txt,0.1,True,False,210,10,10,True,0.011723,3209,4126,2700,2700,"{""cx"": 2700, ""rz"": 210, ""u"": 1216}",795,1009,12,124,354,519,"{""CX"": 519, ""U1"": 12, ""U2"": 124, ""U3"": 354}",0,2700,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_HF.txt,_Pauli_string_HF.txt,0.1,True,False,275,10,10,True,0.030048,6037,7101,5498,5498,"{""cx"": 5498, ""rz"": 275, ""u"": 1328}",1359,1707,13,348,340,1006,"{""CX"": 1006, ""U1"": 13, ""U2"": 348, ""U3"": 340}",0,5498,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_OH-.txt,_Pauli_string_OH-.txt,0.1,True,False,275,10,10,True,0.031583,5775,6901,5298,5298,"{""cx"": 5298, ""rz"": 275, ""u"": 1328}",1445,1890,11,365,390,1124,"{""CX"": 1124, ""U1"": 11, ""U2"": 365, ""U3"": 390}",0,5298,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_LiH_f.txt,_Pauli_string_LiH_f.txt,0.1,True,False,275,10,10,True,0.029820,6037,7101,5498,5498,"{""cx"": 5498, ""rz"": 275, ""u"": 1328}",1359,1707,13,348,340,1006,"{""CX"": 1006, ""U1"": 13, ""U2"": 348, ""U3"": 340}",0,5498,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_H2O.txt,_Pauli_string_H2O.txt,0.1,True,False,550,12,12,True,0.089562,16127,18626,15004,15004,"{""cx"": 15004, ""rz"": 550, ""u"": 3072}",3455,4358,20,864,763,2711,"{""CX"": 2711, ""U1"": 20, ""U2"": 864, ""U3"": 763}",0,15004,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_LiH_unf.txt,_Pauli_string_LiH_unf.txt,0.1,True,False,614,12,12,True,0.087526,17184,19714,15868,15868,"{""cx"": 15868, ""rz"": 614, ""u"": 3232}",3405,4240,17,835,820,2568,"{""CX"": 2568, ""U1"": 17, ""U2"": 835, ""U3"": 820}",0,15868,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_BeH2_f.txt,_Pauli_string_BeH2_f.txt,0.1,True,False,661,12,12,True,0.128215,22779,27665,21732,21732,"{""cx"": 21732, ""rz"": 661, ""u"": 5272}",3036,4008,45,536,1207,2220,"{""CX"": 2220, ""U1"": 45, ""U2"": 536, ""U3"": 1207}",0,21732,
paulihedral,MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_BeH2_unf.txt,_Pauli_string_BeH2_unf.txt,0.1,True,False,661,14,14,True,0.143755,25226,28187,23894,23894,"{""cx"": 23894, ""rz"": 661, ""u"": 3632}",4323,5244,21,949,882,3392,"{""CX"": 3392, ""U1"": 21, ""U2"": 949, ""U3"": 882}",0,23894,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/LiH/JW_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,JW_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,True,False,630,12,12,True,0.094245,18267,20898,16908,16908,"{""cx"": 16908, ""rz"": 630, ""u"": 3360}",3521,4388,16,867,830,2675,"{""CX"": 2675, ""U1"": 16, ""U2"": 867, ""U3"": 830}",0,16908,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/LiH/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,True,False,630,12,12,True,0.108327,22002,25856,20786,20786,"{""cx"": 20786, ""rz"": 630, ""u"": 4440}",1988,2741,85,390,899,1367,"{""CX"": 1367, ""U1"": 85, ""U2"": 390, ""U3"": 899}",0,20786,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/BeH2/JW_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,JW_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,0.1,True,False,665,14,14,True,0.144460,25318,28287,23974,23974,"{""cx"": 23974, ""rz"": 665, ""u"": 3648}",4379,5283,22,946,875,3440,"{""CX"": 3440, ""U1"": 22, ""U2"": 946, ""U3"": 875}",0,23974,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/BeH2/BK_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,BK_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,0.1,True,False,665,14,14,True,0.184988,24244,28627,22890,22890,"{""cx"": 22890, ""rz"": 665, ""u"": 5072}",2432,3325,56,536,980,1753,"{""CX"": 1753, ""U1"": 56, ""U2"": 536, ""U3"": 980}",0,22890,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/JW_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,JW_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,0.1,True,False,788,16,16,True,0.229460,35415,39364,33840,33840,"{""cx"": 33840, ""rz"": 788, ""u"": 4736}",5582,6693,9,1218,972,4494,"{""CX"": 4494, ""U1"": 9, ""U2"": 1218, ""U3"": 972}",0,33840,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/BK_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,BK_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,0.1,True,False,788,16,16,True,0.181349,27830,32606,26602,26602,"{""cx"": 26602, ""rz"": 788, ""u"": 5216}",3823,4972,29,606,1438,2899,"{""CX"": 2899, ""U1"": 29, ""U2"": 606, ""U3"": 1438}",0,26602,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/BK_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,BK_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,0.1,True,False,914,12,12,True,0.147915,32629,38610,30792,30792,"{""cx"": 30792, ""rz"": 914, ""u"": 6904}",3367,4611,76,668,1490,2377,"{""CX"": 2377, ""U1"": 76, ""U2"": 668, ""U3"": 1490}",0,30792,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/JW_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,JW_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,0.1,True,False,914,12,12,True,0.149613,26232,30478,24108,24108,"{""cx"": 24108, ""rz"": 914, ""u"": 5456}",5381,6588,42,1374,1197,3975,"{""CX"": 3975, ""U1"": 42, ""U2"": 1374, ""U3"": 1197}",0,24108,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/H2O/BK_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,BK_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,0.1,True,False,1218,12,12,True,0.180818,42354,49724,39682,39682,"{""cx"": 39682, ""rz"": 1218, ""u"": 8824}",3980,5378,86,793,1818,2681,"{""CX"": 2681, ""U1"": 86, ""U2"": 793, ""U3"": 1818}",0,39682,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/H2O/JW_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,JW_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,0.1,True,False,1218,12,12,True,0.202123,35194,40342,32148,32148,"{""cx"": 32148, ""rz"": 1218, ""u"": 6976}",7080,8537,37,1725,1653,5122,"{""CX"": 5122, ""U1"": 37, ""U2"": 1725, ""U3"": 1653}",0,32148,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/N2/JW_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,JW_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,True,False,1176,16,16,True,0.337901,55253,61352,52464,52464,"{""cx"": 52464, ""rz"": 1176, ""u"": 7712}",9036,10630,14,2009,1401,7206,"{""CX"": 7206, ""U1"": 14, ""U2"": 2009, ""U3"": 1401}",0,52464,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/C2/JW_C2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,JW_C2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,True,False,1176,16,16,True,0.332719,54848,60984,52096,52096,"{""cx"": 52096, ""rz"": 1176, ""u"": 7712}",8982,10636,14,2014,1425,7183,"{""CX"": 7183, ""U1"": 14, ""U2"": 2014, ""U3"": 1425}",0,52096,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/N2/BK_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,BK_N2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,True,False,1176,16,16,True,0.433245,46662,54680,44552,44552,"{""cx"": 44552, ""rz"": 1176, ""u"": 8952}",5397,6997,69,994,1930,4004,"{""CX"": 4004, ""U1"": 69, ""U2"": 994, ""U3"": 1930}",0,44552,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/C2/BK_C2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,BK_C2_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_1177_paulis.txt,0.1,True,False,1176,16,16,True,0.432487,44981,52856,42832,42832,"{""cx"": 42832, ""rz"": 1176, ""u"": 8848}",5677,7146,50,979,1960,4157,"{""CX"": 4157, ""U1"": 50, ""U2"": 979, ""U3"": 1960}",0,42832,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/H2O/JW_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,JW_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,True,False,1653,14,14,True,0.362614,60201,67731,56078,56078,"{""cx"": 56078, ""rz"": 1653, ""u"": 10000}",10772,12763,36,2548,2139,8040,"{""CX"": 8040, ""U1"": 36, ""U2"": 2548, ""U3"": 2139}",0,56078,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/H2O/BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,BK_H2O_sto3g_10_electrons_14_spin_orbitals_Hamiltonian_1654_paulis.txt,0.1,True,False,1653,14,14,True,0.410495,59597,70375,56054,56054,"{""cx"": 56054, ""rz"": 1653, ""u"": 12668}",5256,7196,130,1201,2252,3613,"{""CX"": 3613, ""U1"": 130, ""U2"": 1201, ""U3"": 2252}",0,56054,
paulihedral,Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/JW_NH3_sto3g_8_electrons_14_spin_orbitals_Hamiltonian_1734_paulis.txt,JW_NH3_sto3g_8_electrons_14_spin_orbitals_Hamiltonian_1734_paulis.txt,0.1,True,False,1733,14,14,True,0.401717,64334,72507,60038,60038,"{""cx"": 60038, ""rz"": 1733, ""u"": 10736}",11647,13850,48,2777,2270,8755,"{""CX"": 8755, ""U1"": 48, ""U2"": 2777, ""U3"": 2270}",0,60038,
