dataset,format,input_path,input_name,t,order_method,qiskit_opt,reverse_labels,n_terms,n_qubits,qubits,ok,wall_s,depth,gates_total,cx,twoq_total,ops_json,ibm_depth,gates_opt_total,gates_opt_U1,gates_opt_U2,gates_opt_U3,gates_opt_CX,gates_opt_json,error
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,trivial,True,False,60,8,8,True,0.535823,70,124,0,98,"{""cxy"": 12, ""cxz"": 24, ""czz"": 28, ""rx"": 6, ""ry"": 12, ""rz"": 8, ""rzx"": 6, ""rzz"": 28}",102,243,0,52,60,131,"{""CX"": 131, ""U2"": 52, ""U3"": 60}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.1,trivial,True,False,60,8,8,True,0.508483,70,124,0,98,"{""cxy"": 12, ""cxz"": 24, ""czz"": 28, ""rx"": 6, ""ry"": 12, ""rz"": 8, ""rzx"": 6, ""rzz"": 28}",103,246,1,52,62,131,"{""CX"": 131, ""U1"": 1, ""U2"": 52, ""U3"": 62}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.1,trivial,True,False,60,8,8,True,0.508399,70,124,0,98,"{""cxy"": 12, ""cxz"": 24, ""czz"": 28, ""rx"": 6, ""ry"": 12, ""rz"": 8, ""rzx"": 6, ""rzz"": 28}",102,243,0,52,60,131,"{""CX"": 131, ""U2"": 52, ""U3"": 60}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.1,trivial,True,False,210,8,8,True,2.182752,504,619,66,420,"{""cx"": 66, ""cxx"": 92, ""cxy"": 14, ""cxz"": 6, ""cyx"": 32, ""cyy"": 100, ""cyz"": 20, ""czx"": 4, ""czy"": 10, ""czz"": 26, ""h"": 17, ""rx"": 15, ""rxx"": 4, ""ry"": 19, ""ryy"": 4, ""rz"": 64, ""rzx"": 22, ""rzz"": 20, ""sx"": 26, ""sxdg"": 22, ""u2"": 5, ""u3"": 31}",605,887,3,255,265,364,"{""CX"": 364, ""U1"": 3, ""U2"": 255, ""U3"": 265}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK2.txt,_Pauli_string_SYK2.txt,0.1,trivial,True,False,210,10,10,True,1.643965,301,450,42,263,"{""cx"": 42, ""cxx"": 22, ""cxy"": 36, ""cxz"": 10, ""cyx"": 18, ""cyy"": 50, ""cyz"": 14, ""czx"": 10, ""czy"": 18, ""czz"": 10, ""h"": 18, ""rx"": 21, ""rxx"": 7, ""ry"": 22, ""ryy"": 5, ""rz"": 58, ""rzx"": 14, ""rzz"": 7, ""sx"": 13, ""sxdg"": 13, ""u2"": 4, ""u3"": 38}",351,559,12,165,172,210,"{""CX"": 210, ""U1"": 12, ""U2"": 165, ""U3"": 172}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_HF.txt,_Pauli_string_HF.txt,0.1,trivial,True,False,275,10,10,True,4.922841,495,775,8,667,"{""cx"": 8, ""cxy"": 64, ""cxz"": 100, ""czx"": 12, ""czz"": 312, ""rx"": 34, ""rxx"": 52, ""ry"": 52, ""ryy"": 50, ""rz"": 14, ""rzx"": 24, ""rzz"": 45, ""sx"": 4, ""u2"": 4}",763,1515,6,414,359,736,"{""CX"": 736, ""U1"": 6, ""U2"": 414, ""U3"": 359}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_OH-.txt,_Pauli_string_OH-.txt,0.1,trivial,True,False,275,10,10,True,4.623262,491,778,10,662,"{""cx"": 10, ""cxy"": 68, ""cxz"": 100, ""cyx"": 4, ""czx"": 12, ""czz"": 304, ""rx"": 37, ""rxx"": 50, ""ry"": 54, ""ryy"": 46, ""rz"": 15, ""rzx"": 23, ""rzz"": 45, ""sx"": 5, ""u2"": 5}",749,1511,12,403,375,721,"{""CX"": 721, ""U1"": 12, ""U2"": 403, ""U3"": 375}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_LiH_f.txt,_Pauli_string_LiH_f.txt,0.1,trivial,True,False,275,10,10,True,4.865433,495,775,8,667,"{""cx"": 8, ""cxy"": 64, ""cxz"": 100, ""czx"": 12, ""czz"": 312, ""rx"": 34, ""rxx"": 52, ""ry"": 52, ""ryy"": 50, ""rz"": 14, ""rzx"": 24, ""rzz"": 45, ""sx"": 4, ""u2"": 4}",763,1515,7,399,373,736,"{""CX"": 736, ""U1"": 7, ""U2"": 399, ""U3"": 373}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_H2O.txt,_Pauli_string_H2O.txt,0.1,trivial,True,False,550,12,12,True,15.089546,1038,1760,20,1481,"{""cx"": 20, ""cxx"": 16, ""cxy"": 150, ""cxz"": 250, ""cyx"": 8, ""cyy"": 4, ""cyz"": 8, ""czx"": 34, ""czy"": 8, ""czz"": 704, ""rx"": 99, ""rxx"": 78, ""ry"": 130, ""ryy"": 74, ""rz"": 28, ""rzx"": 59, ""rzz"": 68, ""sx"": 10, ""u2"": 10, ""u3"": 2}",1545,3201,17,937,658,1589,"{""CX"": 1589, ""U1"": 17, ""U2"": 937, ""U3"": 658}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_LiH_unf.txt,_Pauli_string_LiH_unf.txt,0.1,trivial,True,False,614,12,12,True,15.537595,1163,1880,16,1619,"{""cx"": 16, ""cxx"": 8, ""cxy"": 150, ""cxz"": 244, ""cyx"": 4, ""cyy"": 12, ""czx"": 30, ""czz"": 796, ""rx"": 83, ""rxx"": 118, ""ry"": 132, ""ryy"": 114, ""rz"": 26, ""rzx"": 61, ""rzz"": 66, ""sx"": 8, ""sxdg"": 2, ""u2"": 6, ""u3"": 4}",1723,3488,25,932,813,1718,"{""CX"": 1718, ""U1"": 25, ""U2"": 932, ""U3"": 813}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_BeH2_f.txt,_Pauli_string_BeH2_f.txt,0.1,trivial,True,False,661,12,12,True,27.316526,1838,2934,70,2664,"{""cx"": 70, ""cxx"": 1038, ""cxy"": 156, ""cxz"": 334, ""cyx"": 62, ""cyy"": 358, ""cyz"": 96, ""czx"": 42, ""czy"": 34, ""czz"": 56, ""h"": 12, ""rx"": 23, ""rxx"": 34, ""ry"": 21, ""ryy"": 47, ""rz"": 93, ""rzx"": 138, ""rzz"": 199, ""sx"": 34, ""sxdg"": 32, ""u2"": 4, ""u3"": 51}",2958,5693,28,1696,1202,2767,"{""CX"": 2767, ""U1"": 28, ""U2"": 1696, ""U3"": 1202}",
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_BeH2_unf.txt,_Pauli_string_BeH2_unf.txt,0.1,trivial,True,False,661,14,14,True,28.173992,1365,2231,24,1910,"{""cx"": 24, ""cxx"": 18, ""cxy"": 180, ""cxz"": 316, ""cyx"": 4, ""cyz"": 2, ""czx"": 40, ""czz"": 974, ""rx"": 105, ""rxx"": 96, ""ry"": 157, ""ryy"": 92, ""rz"": 35, ""rzx"": 71, ""rzz"": 93, ""sx"": 12, ""u2"": 12}",2003,4060,8,1224,757,2071,"{""CX"": 2071, ""U1"": 8, ""U2"": 1224, ""U3"": 757}",
Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/LiH/JW_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,JW_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,trivial,True,False,630,12,12,True,16.840538,1218,1949,18,1674,"{""cx"": 18, ""cxx"": 8, ""cxy"": 158, ""cxz"": 256, ""cyx"": 4, ""cyy"": 12, ""czx"": 34, ""czz"": 822, ""rx"": 88, ""rxx"": 118, ""ry"": 138, ""ryy"": 114, ""rz"": 27, ""rzx"": 64, ""rzz"": 66, ""sx"": 9, ""sxdg"": 2, ""u2"": 7, ""u3"": 4}",1820,3629,8,1045,797,1779,"{""CX"": 1779, ""U1"": 8, ""U2"": 1045, ""U3"": 797}",
Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/LiH/BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,BK_LiH_sto3g_4_electrons_12_spin_orbitals_Hamiltonian_631_paulis.txt,0.1,trivial,True,False,630,12,12,True,22.216763,1847,2750,114,2407,"{""cx"": 114, ""cxx"": 520, ""cxy"": 106, ""cxz"": 390, ""cyx"": 56, ""cyy"": 554, ""cyz"": 82, ""czx"": 40, ""czy"": 40, ""czz"": 124, ""h"": 19, ""rx"": 50, ""rxx"": 57, ""ry"": 15, ""ryy"": 10, ""rz"": 117, ""rzx"": 141, ""rzz"": 173, ""sx"": 24, ""sxdg"": 40, ""u2"": 43, ""u3"": 35}",2856,5276,41,1686,1130,2419,"{""CX"": 2419, ""U1"": 41, ""U2"": 1686, ""U3"": 1130}",
Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/BeH2/JW_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,JW_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,0.1,trivial,True,False,665,14,14,True,28.265494,1375,2247,24,1926,"{""cx"": 24, ""cxx"": 18, ""cxy"": 180, ""cxz"": 318, ""cyx"": 4, ""cyz"": 2, ""czx"": 40, ""czz"": 984, ""rx"": 105, ""rxx"": 98, ""ry"": 157, ""ryy"": 94, ""rz"": 35, ""rzx"": 71, ""rzz"": 93, ""sx"": 12, ""u2"": 12}",2003,4057,9,1220,757,2071,"{""CX"": 2071, ""U1"": 9, ""U2"": 1220, ""U3"": 757}",
Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/BeH2/BK_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,BK_BeH2_sto3g_6_electrons_14_spin_orbitals_Hamiltonian_666_paulis.txt,0.1,trivial,True,False,665,14,14,True,38.708914,3040,4592,382,3853,"{""cx"": 382, ""cxx"": 1074, ""cxy"": 108, ""cxz"": 500, ""cyx"": 40, ""cyy"": 972, ""cyz"": 40, ""czx"": 34, ""czy"": 6, ""czz"": 318, ""h"": 102, ""rx"": 22, ""rxx"": 34, ""ry"": 1, ""ryy"": 17, ""rz"": 218, ""rzx"": 87, ""rzz"": 241, ""sx"": 94, ""sxdg"": 121, ""u2"": 159, ""u3"": 22}",4341,7982,35,2606,1459,3882,"{""CX"": 3882, ""U1"": 35, ""U2"": 2606, ""U3"": 1459}",
Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/JW_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,JW_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,0.1,trivial,True,False,788,16,16,True,45.027919,1581,2807,14,2361,"{""cx"": 14, ""cxx"": 52, ""cxy"": 252, ""cxz"": 444, ""cyx"": 12, ""czx"": 50, ""czz"": 1188, ""rx"": 131, ""rxx"": 60, ""ry"": 252, ""ryy"": 56, ""rz"": 49, ""rzx"": 113, ""rzz"": 120, ""sx"": 7, ""u2"": 7}",2238,4885,2,1509,792,2582,"{""CX"": 2582, ""U1"": 2, ""U2"": 1509, ""U3"": 792}",
Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/ethylene/BK_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,BK_ethylene_sto3g_10_electrons_16_spin_orbitals_Hamiltonian_789_paulis.txt,0.1,trivial,True,False,788,16,16,True,37.397604,2466,3942,124,3464,"{""cx"": 124, ""cxx"": 820, ""cxy"": 96, ""cxz"": 820, ""cyx"": 30, ""cyy"": 688, ""cyz"": 120, ""czx"": 52, ""czy"": 132, ""czz"": 136, ""h"": 14, ""rx"": 95, ""rxx"": 107, ""ry"": 12, ""ryy"": 6, ""rz"": 233, ""rzx"": 122, ""rzz"": 211, ""sx"": 55, ""sxdg"": 55, ""u2"": 14}",3988,7675,74,2751,1234,3616,"{""CX"": 3616, ""U1"": 74, ""U2"": 2751, ""U3"": 1234}",
Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/BK_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,BK_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,0.1,trivial,True,False,914,12,12,True,29.184291,2160,3209,32,2855,"{""cx"": 32, ""cxx"": 530, ""cxy"": 232, ""cxz"": 434, ""cyx"": 112, ""cyy"": 566, ""cyz"": 168, ""czx"": 76, ""czy"": 114, ""czz"": 120, ""h"": 7, ""rx"": 120, ""rxx"": 90, ""ry"": 22, ""ryy"": 17, ""rz"": 135, ""rzx"": 208, ""rzz"": 156, ""sx"": 12, ""sxdg"": 10, ""u2"": 7, ""u3"": 41}",3519,6377,77,2177,1256,2867,"{""CX"": 2867, ""U1"": 77, ""U2"": 2177, ""U3"": 1256}",
Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/NH3/JW_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,JW_NH3_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_915_paulis.txt,0.1,trivial,True,False,914,12,12,True,24.308965,1607,2617,20,2174,"{""cx"": 20, ""cxx"": 24, ""cxy"": 242, ""cxz"": 380, ""cyx"": 20, ""cyy"": 16, ""cyz"": 12, ""czx"": 48, ""czy"": 12, ""czz"": 976, ""rx"": 164, ""rxx"": 130, ""ry"": 216, ""ryy"": 120, ""rz"": 34, ""rzx"": 104, ""rzz"": 70, ""sx"": 10, ""u2"": 10, ""u3"": 9}",2372,4630,9,1535,827,2259,"{""CX"": 2259, ""U1"": 9, ""U2"": 1535, ""U3"": 827}",
Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/H2O/BK_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,BK_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,0.1,trivial,True,False,1218,12,12,True,30.807509,1877,2823,62,2472,"{""cx"": 62, ""cxx"": 418, ""cxy"": 170, ""cxz"": 368, ""cyx"": 88, ""cyy"": 514, ""cyz"": 154, ""czx"": 94, ""czy"": 102, ""czz"": 90, ""h"": 8, ""rx"": 100, ""rxx"": 75, ""ry"": 23, ""ryy"": 15, ""rz"": 97, ""rzx"": 177, ""rzz"": 145, ""sx"": 28, ""sxdg"": 31, ""u2"": 5, ""u3"": 59}",2924,5332,46,1789,1093,2404,"{""CX"": 2404, ""U1"": 46, ""U2"": 1789, ""U3"": 1093}",
Genesis_dataset,genesis,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/Genesis_dataset/H2O/JW_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,JW_H2O_sto3g_8_electrons_12_spin_orbitals_Hamiltonian_1219_paulis.txt,0.1,trivial,True,False,1218,12,12,True,27.070070,1306,2296,16,1923,"{""cx"": 16, ""cxx"": 60, ""cxy"": 194, ""cxz"": 284, ""cyx"": 44, ""cyy"": 8, ""cyz"": 8, ""czx"": 42, ""czy"": 4, ""czz"": 782, ""rx"": 128, ""rxx"": 160, ""ry"": 187, ""ryy"": 148, ""rz"": 30, ""rzx"": 105, ""rzz"": 68, ""sx"": 9, ""u2"": 9, ""u3"": 10}",1841,3798,1,1271,697,1829,"{""CX"": 1829, ""U1"": 1, ""U2"": 1271, ""U3"": 697}",
