dataset,format,input_path,input_name,err,t,pipeline,p_flag,grouping,algorithm,backend,n_terms,n_pauli_strings,splitting_r,lambda,relaxation_factor,ok,wall_s,qubits,gates_in_total,gates_in_H,gates_in_X,gates_in_Rzq,gates_in_CX,gates_in_json,gates_opt_total,gates_opt_U1,gates_opt_U2,gates_opt_U3,gates_opt_CX,gates_opt_json,stdout_tail,stderr_tail
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt,_Pauli_string_Ar.txt,0.1,0.1,qdrift,3,none,Trotterization (QDrift),IBMDigital,60,47,,14.603033,1.064112,True,0.047840,8,97,6,0,53,38,"{""CX"": 38, ""H"": 6, ""Rzq"": 53, ""X"": 0}",59,12,4,0,43,"{""CX"": 43, ""U1"": 12, ""U2"": 4, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_ap\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\nFinish translation_lowprog_ap\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Ar.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 47 pauli strings; lambda = 14.603033; relaxation factor: 1.064112.\n[DBG] Input circuit uses 8 qubits, has 97 gates:  { H : 6, X : 0, Rzq : 53, CX : 38 }.\n[DBG] After optimization, the circuit uses 59 gates : { U1 : 12, U2 : 4, U3 : 0, CX : 43 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt,_Pauli_string_Cl-.txt,0.1,0.1,qdrift,3,none,Trotterization (QDrift),IBMDigital,60,28,,11.12888,1.082737,True,0.025421,8,80,12,0,34,34,"{""CX"": 34, ""H"": 12, ""Rzq"": 34, ""X"": 0}",63,9,10,0,44,"{""CX"": 44, ""U1"": 9, ""U2"": 10, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_ap\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\nFinish translation_lowprog_ap\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Cl-.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 28 pauli strings; lambda = 11.128880; relaxation factor: 1.082737.\n[DBG] Input circuit uses 8 qubits, has 80 gates:  { H : 12, X : 0, Rzq : 34, CX : 34 }.\n[DBG] After optimization, the circuit uses 63 gates : { U1 : 9, U2 : 10, U3 : 0, CX : 44 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt,_Pauli_string_Na+.txt,0.1,0.1,qdrift,3,none,Trotterization (QDrift),IBMDigital,60,25,,10.45621,1.087248,True,0.024457,8,51,6,0,27,18,"{""CX"": 18, ""H"": 6, ""Rzq"": 27, ""X"": 0}",32,10,4,0,18,"{""CX"": 18, ""U1"": 10, ""U2"": 4, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_ap\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\nFinish translation_lowprog_ap\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_Na+.txt:\n[DBG] Length of Pauli String 60\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 25 pauli strings; lambda = 10.456210; relaxation factor: 1.087248.\n[DBG] Input circuit uses 8 qubits, has 51 gates:  { H : 6, X : 0, Rzq : 27, CX : 18 }.\n[DBG] After optimization, the circuit uses 32 gates : { U1 : 10, U2 : 4, U3 : 0, CX : 18 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK1.txt,_Pauli_string_SYK1.txt,0.1,0.1,qdrift,3,none,Trotterization (QDrift),IBMDigital,210,2191,,104.141124,1.009552,True,3.000049,8,38275,12124,0,8523,17628,"{""CX"": 17628, ""H"": 12124, ""Rzq"": 8523, ""X"": 0}",23340,2040,4663,45,16592,"{""CX"": 16592, ""U1"": 2040, ""U2"": 4663, ""U3"": 45}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 8\nEnter translation_lowprog_ap\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\nFinish translation_lowprog_ap\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/_Pauli_string_SYK1.768984afcc13.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 2191 pauli strings; lambda = 104.141124; relaxation factor: 1.009552.\n[DBG] Input circuit uses 8 qubits, has 38275 gates:  { H : 12124, X : 0, Rzq : 8523, CX : 17628 }.\n[DBG] After optimization, the circuit uses 23340 gates : { U1 : 2040, U2 : 4663, U3 : 45, CX : 16592 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_SYK2.txt,_Pauli_string_SYK2.txt,0.1,0.1,qdrift,3,none,Trotterization (QDrift),IBMDigital,210,2373,,108.410952,1.009179,True,6.408052,10,31487,10064,0,7769,13654,"{""CX"": 13654, ""H"": 10064, ""Rzq"": 7769, ""X"": 0}",6415,1692,1108,325,3290,"{""CX"": 3290, ""U1"": 1692, ""U2"": 1108, ""U3"": 325}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 10\nEnter translation_lowprog_ap\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\nFinish translation_lowprog_ap\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /var/folders/8l/ycc5vbn93_56mddr52w8zp040000gn/T/qblue_bench_65n1mbhl/_Pauli_string_SYK2.4c135e6ff830.unix.txt:\n[DBG] Length of Pauli String 210\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 2373 pauli strings; lambda = 108.410952; relaxation factor: 1.009179.\n[DBG] Input circuit uses 10 qubits, has 31487 gates:  { H : 10064, X : 0, Rzq : 7769, CX : 13654 }.\n[DBG] After optimization, the circuit uses 6415 gates : { U1 : 1692, U2 : 1108, U3 : 325, CX : 3290 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_HF.txt,_Pauli_string_HF.txt,0.1,0.1,qdrift,3,none,Trotterization (QDrift),IBMDigital,275,125,,24.424906,1.039854,True,0.033133,10,301,32,0,137,132,"{""CX"": 132, ""H"": 32, ""Rzq"": 137, ""X"": 0}",127,27,17,3,80,"{""CX"": 80, ""U1"": 27, ""U2"": 17, ""U3"": 3}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 10\nEnter translation_lowprog_ap\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\nFinish translation_lowprog_ap\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_HF.txt:\n[DBG] Length of Pauli String 275\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 125 pauli strings; lambda = 24.424906; relaxation factor: 1.039854.\n[DBG] Input circuit uses 10 qubits, has 301 gates:  { H : 32, X : 0, Rzq : 137, CX : 132 }.\n[DBG] After optimization, the circuit uses 127 gates : { U1 : 27, U2 : 17, U3 : 3, CX : 80 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_OH-.txt,_Pauli_string_OH-.txt,0.1,0.1,qdrift,3,none,Trotterization (QDrift),IBMDigital,275,74,,18.581708,1.051503,True,0.032165,10,282,52,0,96,134,"{""CX"": 134, ""H"": 52, ""Rzq"": 96, ""X"": 0}",156,26,22,5,103,"{""CX"": 103, ""U1"": 26, ""U2"": 22, ""U3"": 5}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 10\nEnter translation_lowprog_ap\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\nFinish translation_lowprog_ap\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_OH-.txt:\n[DBG] Length of Pauli String 275\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 74 pauli strings; lambda = 18.581708; relaxation factor: 1.051503.\n[DBG] Input circuit uses 10 qubits, has 282 gates:  { H : 52, X : 0, Rzq : 96, CX : 134 }.\n[DBG] After optimization, the circuit uses 156 gates : { U1 : 26, U2 : 22, U3 : 5, CX : 103 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_LiH_f.txt,_Pauli_string_LiH_f.txt,0.1,0.1,qdrift,3,none,Trotterization (QDrift),IBMDigital,275,18,,8.894264,1.103873,True,0.028159,10,62,8,0,20,34,"{""CX"": 34, ""H"": 8, ""Rzq"": 20, ""X"": 0}",33,8,2,0,23,"{""CX"": 23, ""U1"": 8, ""U2"": 2, ""U3"": 0}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 10\nEnter translation_lowprog_ap\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\nFinish translation_lowprog_ap\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_LiH_f.txt:\n[DBG] Length of Pauli String 275\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 18 pauli strings; lambda = 8.894264; relaxation factor: 1.103873.\n[DBG] Input circuit uses 10 qubits, has 62 gates:  { H : 8, X : 0, Rzq : 20, CX : 34 }.\n[DBG] After optimization, the circuit uses 33 gates : { U1 : 8, U2 : 2, U3 : 0, CX : 23 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_H2O.txt,_Pauli_string_H2O.txt,0.1,0.1,qdrift,3,none,Trotterization (QDrift),IBMDigital,550,154,,27.158985,1.035901,True,0.038363,12,1040,194,0,250,596,"{""CX"": 596, ""H"": 194, ""Rzq"": 250, ""X"": 0}",380,59,49,14,258,"{""CX"": 258, ""U1"": 59, ""U2"": 49, ""U3"": 14}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 12\nEnter translation_lowprog_ap\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\nFinish translation_lowprog_ap\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_H2O.txt:\n[DBG] Length of Pauli String 550\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 154 pauli strings; lambda = 27.158985; relaxation factor: 1.035901.\n[DBG] Input circuit uses 12 qubits, has 1040 gates:  { H : 194, X : 0, Rzq : 250, CX : 596 }.\n[DBG] After optimization, the circuit uses 380 gates : { U1 : 59, U2 : 49, U3 : 14, CX : 258 }.\n\n"
MarQSim_dataset,marqsim,/Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_LiH_unf.txt,_Pauli_string_LiH_unf.txt,0.1,0.1,qdrift,3,none,Trotterization (QDrift),IBMDigital,614,34,,12.341623,1.075298,True,0.037333,12,142,20,0,42,80,"{""CX"": 80, ""H"": 20, ""Rzq"": 42, ""X"": 0}",82,12,11,1,58,"{""CX"": 58, ""U1"": 12, ""U2"": 11, ""U3"": 1}",Start analyze_one_circuit\nBefore lexing\nafter lexing\nbefore parser\nafter parser\nAfter parserAfter getting qubit 12\nEnter translation_lowprog_ap\ndecompose to full gate set\ndecompose to voqc\nconvert to rzq\nFinish translation_lowprog_ap\n,"[DBG] Expected error: 0.100000;   t: 0.100000\n[DBG] Analyzing /Users/jbg/Development/particleSystem/QBlue_Benchmark_Datasets/MarQSim_dataset/_Pauli_string_LiH_unf.txt:\n[DBG] Length of Pauli String 614\n\n[DBG] ---- Trotterization (QDrift) -> IBMDigital circuits: ----\n[DBG] Dealing with 34 pauli strings; lambda = 12.341623; relaxation factor: 1.075298.\n[DBG] Input circuit uses 12 qubits, has 142 gates:  { H : 20, X : 0, Rzq : 42, CX : 80 }.\n[DBG] After optimization, the circuit uses 82 gates : { U1 : 12, U2 : 11, U3 : 1, CX : 58 }.\n\n"
